"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.81466853024791e-284,2.66021326118964,0.84,0.321,3.94871872181944e-280,"0","LGMN"
2.57038808419342e-283,3.33641346126333,0.588,0.09,5.59316447120489e-279,"0","SLC25A19"
7.44221402064137e-283,2.61167801052271,0.577,0.071,1.61942577089156e-278,"0","PCED1B-AS1"
1.75471866329566e-281,2.23341625328464,0.6,0.084,3.81826781133135e-277,"0","CD69"
3.94929322733934e-279,2.67676615094192,0.594,0.083,8.5936620626904e-275,"0","FYB1"
2.48294394825986e-278,2.89323057873579,0.598,0.091,5.40288603141346e-274,"0","LYN"
3.03642148186807e-278,1.7818380445869,0.991,0.677,6.60725314454492e-274,"0","CEBPB"
1.2736522194871e-275,2.68976822061837,0.655,0.125,2.77146722960392e-271,"0","NPL"
1.30511589134311e-275,3.24512368380903,0.498,0.048,2.83993217956262e-271,"0","TAGAP"
2.83417302681638e-275,2.09660150016728,0.883,0.36,6.16716050635245e-271,"0","ARPC1B"
9.27958955723641e-275,2.38458617271124,0.756,0.188,2.01923868765464e-270,"0","SLC16A3"
1.2332777736311e-274,2.84250426163444,0.54,0.064,2.68361243542127e-270,"0","FCGBP"
1.69804928315343e-274,2.78412708785743,0.675,0.14,3.69495524014186e-270,"0","B4GALT1"
1.98113717178173e-273,3.13505389984058,0.509,0.053,4.31095448579704e-269,"0","WAS"
2.22318422452322e-271,2.07827193681897,0.876,0.359,4.83764887256253e-267,"0","MGAT1"
4.8789893033212e-268,2.9156933719149,0.543,0.07,1.06166807240269e-263,"0","TNFSF13"
6.45565392487005e-267,2.27776709314622,0.771,0.217,1.40475029405172e-262,"0","CREG1"
6.81159361043049e-267,2.92576604168552,0.62,0.112,1.48220276962967e-262,"0","DAB2"
8.01301477617354e-265,3.89693385328067,0.438,0.034,1.74363201529536e-260,"0","MIR3945HG"
1.26383369706629e-264,2.89643558964491,0.532,0.065,2.75010212481625e-260,"0","SLA"
1.38948413116955e-264,3.10706148634392,0.505,0.056,3.02351746942495e-260,"0","PARVG"
1.67775932617691e-259,2.42283764737079,0.767,0.242,3.65080429376096e-255,"0","MFSD1"
2.06088437833598e-257,2.40070408537536,0.774,0.241,4.48448440725909e-253,"0","SLC7A5"
3.68244523347434e-256,2.25601546915385,0.855,0.393,8.01300082804016e-252,"0","CFLAR"
9.85056482663306e-256,2.7090074006417,0.696,0.166,2.14348290627535e-251,"0","DNAJA4"
1.95543791986645e-255,2.4747932708444,0.487,0.049,4.25503291362939e-251,"0","GPR34"
1.62346656964972e-253,2.90809736693851,0.548,0.082,3.53266325555779e-249,"0","MIR155HG"
2.62033779001329e-251,2.70689150993751,0.497,0.058,5.70185503106893e-247,"0","IL1RN"
1.73608834127357e-249,2.83015955745027,0.561,0.09,3.7777282306113e-245,"0","UCP2"
1.13676518760507e-248,2.15581849334639,0.87,0.44,2.47360104822862e-244,"0","TMEM176B"
4.00399859724972e-248,3.29987578545135,0.446,0.041,8.7127009476154e-244,"0","CD84"
1.01217418667032e-245,3.37525759729349,0.465,0.051,2.20249103019461e-241,"0","RNF144B"
2.02999391901904e-245,1.87041413939949,0.644,0.114,4.41726676778542e-241,"0","PTPRC"
2.5225317538967e-244,2.40146981675618,0.649,0.137,5.48902909647921e-240,"0","KCTD12"
5.92882861513119e-244,2.55610998036811,0.518,0.07,1.29011310665255e-239,"0","F13A1"
1.09415339664631e-243,1.03598503958463,1,0.999,2.38087779110238e-239,"0","TMSB4X"
1.7605805479184e-242,1.79475474476303,0.914,0.477,3.83102327227043e-238,"0","COTL1"
5.25528300738769e-239,3.0397762725553,0.596,0.124,1.14354958240756e-234,"0","FGD4"
4.30519865304596e-238,2.34475550889614,0.583,0.098,9.36811226902801e-234,"0","GPSM3"
4.68347547976666e-238,2.71450888341266,0.958,0.716,1.01912426439723e-233,"0","SPP1"
1.08315833252171e-237,1.05438456434979,1,0.999,2.35695253156723e-233,"0","TPT1"
4.18943707646246e-234,2.99820968389591,0.53,0.087,9.11621507838232e-230,"0","RBM47"
4.84367928599836e-234,1.2111750617464,0.998,0.977,1.05398461263324e-229,"0","MT-ND3"
5.01477929418666e-234,2.78560605323862,0.495,0.065,1.09121597441502e-229,"0","GNA15"
3.50084075136043e-232,1.15964766345351,0.999,0.997,7.6178294749603e-228,"0","MT-CO1"
1.0855428650202e-231,3.24410883188283,0.451,0.052,2.36214127428396e-227,"0","SLC15A3"
3.19461905771137e-230,1.77857822427597,0.97,0.842,6.95149106957995e-226,"0","APOE"
8.38425420248616e-227,2.28727164242166,0.713,0.21,1.82441371446099e-222,"0","AKAP13"
1.51839679552937e-226,2.82686971147149,0.643,0.169,3.30403142707191e-222,"0","ZNF331"
