"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","22/686","115/9382",0.191304347826087,2.61635188236785,4.89826314118956,2.48068506420018e-05,0.000249618934585143,0.000177891231577513,"SGK1/NR4A2/HBEGF/GNA13/ARRB2/ARRB1/PDE4B/PRKCB/WNK1/MEF2A/GNAI1/AKAP13/PLD1/MAFB/BCL2/ADCY5/PDE4A/MEF2C/PLCB2/ADCY7/MEF2D/ADCY3",22
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","26/686","149/9382",0.174496644295302,2.38648326061009,4.79140859191438,2.57102000924267e-05,0.000250869225144285,0.000178782252636332,"FCER1G/PLPP2/CYTH1/GNA13/GRB2/CXCL8/CYTH4/PDGFB/GRM3/DNM3/DNM2/SYK/PLD1/PIK3R5/GAB2/ADCY5/RAPGEF3/PLCB2/DGKZ/PLA2G4C/LPAR6/ADCY7/AGPAT4/SPHK1/INSR/ADCY3",26
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","22/686","116/9382",0.189655172413793,2.59379712476123,4.8511281349987,2.85520114094153e-05,0.000270404343347992,0.000192703977933515,"CYBA/ITGB2/CLDN11/CYBB/NCF4/NCF1/PRKCB/ITGAM/RASSF5/CXCR4/GNAI1/VAV1/MAPK13/MMP9/PECAM1/RAC2/SIPA1/ITGA4/NCF2/RAPGEF3/PTK2/JAM3",22
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","21/686","109/9382",0.192660550458716,2.63489983149223,4.82193252049251,3.38163104244148e-05,0.000311110055904616,0.000221712952557066,"HSP90AA1/HSP90AB1/IL1B/CD4/NFKB1/HLA-DQB1/AHR/HLA-DMB/IL4R/IL6R/HLA-DPB1/MAPK13/HLA-DMA/HLA-DQA1/HLA-DRB5/STAT6/HLA-DRB1/NFKBIE/HLA-DRA/NFATC1/HLA-DPA1",21
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","34/686","227/9382",0.149779735682819,2.04844530637932,4.49113794283923,4.48989668869974e-05,0.000401596314933699,0.000286198093022381,"HLA-E/B2M/HLA-C/HLA-B/CCL3/CCL4/CCL4L2/CCL3L1/IL1B/PTGER4/GNG7/GNA13/GRB2/HLA-F/NFKB1/IL10RA/CXCL8/PRKCB/IL6R/CXCR4/GNAI1/AKAP13/MAPK13/RAC2/TNF/ADCY5/CCND1/PLCB2/NFATC1/ADCY7/GNAO1/ADCY3/PTK2/CCR1",34
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","20/686","105/9382",0.19047619047619,2.60502568374288,4.64514973537108,6.12895828585048e-05,0.000533385018390231,0.000380117469791011,"CD14/BCL2A1/CCL4/CCL4L2/IL1B/LY96/NFKB1/CXCL8/LYN/LTBR/CD40/CFLAR/PRKCB/NFKB2/SYK/TLR4/BCL2/TNF/BCL2L1/TRIM25",20
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","33/686","224/9382",0.147321428571429,2.01482455226989,4.31759115829049,8.07413439644372e-05,0.000684176651488125,0.000487579307042862,"HLA-E/B2M/HLA-C/HLA-B/ITGB2/SPI1/ETS2/CD4/HLA-F/NFKB1/HLA-DQB1/LTBR/HLA-DMB/CD40/HLA-DPB1/NFKB2/HLA-DMA/HLA-DQA1/HLA-DRB5/HLA-DRB1/TNF/BCL2L1/ADCY5/HLA-DRA/CCND1/DLG1/NFATC1/ADCY7/HLA-DPA1/EGR2/MAP3K3/ADCY3/CCNE2",33
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","28/686","180/9382",0.155555555555556,2.12743764172336,4.2895776010668,0.000107221067258963,0.000865826912809997,0.000617032582519056,"HLA-E/B2M/HLA-C/HLA-B/IL1B/HLA-F/NFKB1/HLA-DQB1/PILRA/HLA-DMB/TLR2/HLA-DPB1/CD74/NECTIN1/SYK/HLA-DMA/BCL2/HLA-DQA1/HLA-DRB5/HLA-DRB1/TNF/BCL2L1/HLA-DRA/IRF7/TNFRSF14/HLA-DPA1/POU2F2/NXF1",28
"Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","15/686","69/9382",0.217391304347826,2.97312713905438,4.62020955822185,0.000107556138237267,0.000865826912809997,0.000617032582519056,"FCER1G/ALOX5AP/LCP2/GRB2/MAP2K3/LYN/ALOX5/VAV1/SYK/MAPK13/INPP5D/RAC2/GAB2/TNF/PLA2G4C",15
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","29/686","195/9382",0.148717948717949,2.03392389923002,4.09775399136766,0.000182418296555814,0.00143265101197493,0.00102098045312368,"CYBA/ITGB2/FCGR3A/FCGR2A/C5AR1/FCGR1A/CYBB/FPR1/CLEC7A/NCF4/PPIF/NFKB1/AQP9/TLR2/NCF1/PRKCB/ITGAM/FPR3/SIGLEC9/GSDMD/SYK/MAPK13/TLR4/RAC2/NCF2/PLCB2/CLCN4/HDAC5/HDAC11",29
