"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","Significance"
2.42969093012545e-145,4.2966642398654,0.37,0.04,5.28700746395298e-141,"S100A8","Upregulated in Tumor"
1.03874323160974e-144,5.16407132002788,0.416,0.077,2.26030527198279e-140,"CCL4L2","Upregulated in Tumor"
3.67074126056842e-144,5.10785847681317,0.324,0.015,7.98753298299689e-140,"FCGR1A","Upregulated in Tumor"
4.77842412836562e-144,2.79108460447456,0.5,0.141,1.03978509033236e-139,"CREG1","Upregulated in Tumor"
7.32184518544876e-144,4.96597164800405,0.433,0.094,1.59323351235365e-139,"CCL3L1","Upregulated in Tumor"
8.09592895228363e-144,3.66334426816312,0.408,0.068,1.76167414001692e-139,"SLC16A10","Upregulated in Tumor"
3.80509863358604e-142,4.42349385277549,0.379,0.053,8.27989462668322e-138,"TMEM63A","Upregulated in Tumor"
9.98757273585563e-142,3.10297866898349,0.493,0.145,2.17329582732218e-137,"REL","Upregulated in Tumor"
2.73114549630631e-141,5.89638155840563,0.311,0.011,5.94297259996253e-137,"TMEM151A","Upregulated in Tumor"
4.0516770664968e-141,2.22327752967234,0.549,0.178,8.81644929669703e-137,"H2AFJ","Upregulated in Tumor"
4.7826377552979e-141,3.62851408109445,0.388,0.054,1.04070197555282e-136,"EMILIN2","Upregulated in Tumor"
9.16990710655902e-141,2.93671241742876,0.405,0.06,1.99537178638724e-136,"CYTH1","Upregulated in Tumor"
1.24880214380989e-139,5.83750757170634,0.301,0.007,2.71739346493033e-135,"NINJ2","Upregulated in Tumor"
1.64798455410323e-139,4.84900321054417,0.32,0.016,3.58601438972863e-135,"CYBB","Upregulated in Tumor"
1.91025071280895e-139,3.03679486327666,0.437,0.092,4.15670555107227e-135,"RASGEF1B","Upregulated in Tumor"
2.61365257509526e-139,4.17078987167417,0.35,0.033,5.68730800340727e-135,"SPOCK1","Upregulated in Tumor"
3.18641076529197e-139,4.34791520403644,0.489,0.154,6.93362982527534e-135,"IL1B","Upregulated in Tumor"
6.14029445928976e-139,2.18882458078145,0.623,0.29,1.33612807434145e-134,"MGAT1","Upregulated in Tumor"
6.5215965002335e-139,3.22678944697189,0.471,0.122,1.41909939845081e-134,"GLA","Upregulated in Tumor"
7.44410764139488e-138,2.19775045499103,0.588,0.233,1.61983782276753e-133,"FNIP2","Upregulated in Tumor"
2.90999396126728e-137,5.01759959930566,0.311,0.014,6.3321468597176e-133,"KYNU","Upregulated in Tumor"
5.89588891195883e-137,4.07636360207743,0.327,0.022,1.28294542724224e-132,"TSPAN15","Upregulated in Tumor"
1.51497778099746e-136,3.96980750084874,0.332,0.024,3.29659165145048e-132,"PTPRC","Upregulated in Tumor"
2.38314178768541e-136,4.7861198436603,0.38,0.064,5.18571653000345e-132,"HCN2","Upregulated in Tumor"
2.88779481190977e-136,5.81661399473684,0.299,0.009,6.28384151071565e-132,"PEX5L","Upregulated in Tumor"
6.53158506198719e-136,3.52540508231086,0.394,0.065,1.42127290948841e-131,"ETS2","Upregulated in Tumor"
9.78083174862674e-136,2.33714825809629,0.498,0.141,2.12830898850118e-131,"WIPF1","Upregulated in Tumor"
1.27534631846936e-135,4.98148930589638,0.32,0.02,2.77515358898932e-131,"THBD","Upregulated in Tumor"
3.90769939588273e-135,3.09474437570202,0.457,0.12,8.50315388544082e-131,"DSE","Upregulated in Tumor"
6.86320259791557e-135,4.31806588615208,0.363,0.049,1.49343288530643e-130,"TPPP","Upregulated in Tumor"
1.46559796183821e-134,4.59180075328143,0.397,0.075,3.18914116495995e-130,"S100A1","Upregulated in Tumor"
1.49666028318206e-134,4.37854776166637,0.324,0.023,3.25673277620416e-130,"HCLS1","Upregulated in Tumor"
1.94955801276061e-134,4.05788131534292,0.328,0.024,4.24223823576709e-130,"LCP1","Upregulated in Tumor"
8.56458560764965e-134,1.41556358522556,0.951,0.887,1.86365382822456e-129,"HSPD1","Upregulated in Tumor"
9.58385579764009e-134,3.38484500012758,0.355,0.039,2.08544702156648e-129,"SIGIRR","Upregulated in Tumor"
1.2013739428764e-133,5.59912806224504,0.294,0.009,2.61418969969905e-129,"CD86","Upregulated in Tumor"
1.83241860755966e-133,2.29596794360916,0.573,0.229,3.98734289004982e-129,"SH3BP5","Upregulated in Tumor"
2.2753702145233e-133,2.12338342553442,0.56,0.194,4.9512055868027e-129,"HBEGF","Upregulated in Tumor"
2.51827476467767e-133,5.27522050895309,0.309,0.017,5.47976588793861e-129,"BOK","Upregulated in Tumor"
4.56646854991487e-132,3.07599091745718,0.464,0.133,9.93663556461477e-128,"CTSC","Upregulated in Tumor"
2.38510398591398e-131,3.85876037368391,0.341,0.035,5.18998627334882e-127,"GLDN","Upregulated in Tumor"
3.26472720096876e-131,3.00353163780875,0.412,0.081,7.10404638930801e-127,"RNF149","Upregulated in Tumor"
6.08703819470724e-131,5.23809027836734,0.292,0.01,1.32453951116829e-126,"LILRB4","Upregulated in Tumor"
2.08087159247549e-130,4.78457104509796,0.312,0.021,4.52797658522666e-126,"SCIN","Upregulated in Tumor"
2.56974088541221e-130,4.44206526911596,0.343,0.039,5.59175616665697e-126,"C15orf48","Upregulated in Tumor"
2.87293158936126e-130,4.07630867260833,0.334,0.033,6.2514991384501e-126,"PTGER4","Upregulated in Tumor"
2.99669411919489e-130,3.75507801754119,0.394,0.075,6.52080640336808e-126,"COL18A1","Upregulated in Tumor"
1.05332295189709e-129,3.06917880642813,0.379,0.057,2.29203074332807e-125,"PADI2","Upregulated in Tumor"
9.6306025043e-129,1.03293776731847,0.949,0.867,2.09561910493568e-124,"HNRNPU","Upregulated in Tumor"
1.03428478111912e-128,2.1982699073454,0.495,0.139,2.25060368371521e-124,"EFHD2","Upregulated in Tumor"
1.20650690130611e-128,5.23270708167044,0.29,0.011,2.62535901724209e-124,"FPR1","Upregulated in Tumor"
1.84424201495509e-128,3.98227787931906,0.43,0.119,4.01307062454227e-124,"ABCA2","Upregulated in Tumor"
3.43670452050481e-128,2.58619551878972,0.512,0.174,7.47826903661846e-124,"NR4A1","Upregulated in Tumor"
3.9813145569405e-128,1.21694863043395,0.929,0.707,8.66334047590252e-124,"FOSB","Upregulated in Tumor"
4.61683921888758e-128,4.43622513213916,0.302,0.017,1.00462421402994e-123,"HTATIP2","Upregulated in Tumor"
1.22285446054761e-127,3.88768692821392,0.329,0.032,2.66093130615161e-123,"PDK4","Upregulated in Tumor"
1.59819500630484e-127,6.23088570971721,0.28,0.008,3.47767233371934e-123,"GJB1","Upregulated in Tumor"
3.42955262579435e-127,3.8645700763738,0.66,0.421,7.4627065137285e-123,"DBNDD2","Upregulated in Tumor"
8.83621510252394e-127,5.30445122027684,0.286,0.011,1.92276040630921e-122,"CLEC7A","Upregulated in Tumor"
2.77797764392354e-126,2.8402486464821,0.49,0.164,6.04487935317762e-122,"MTUS1","Upregulated in Tumor"
6.00118913057408e-126,4.24422535684525,0.308,0.022,1.30585875481292e-121,"GPSM3","Upregulated in Tumor"
1.22353195979132e-125,4.54939547239208,0.302,0.02,2.66240554450591e-121,"LGALS9","Upregulated in Tumor"
3.22482946467776e-125,3.08826742362494,0.408,0.088,7.01722891513881e-121,"SHTN1","Upregulated in Tumor"
4.71738022990148e-125,5.08536205176503,0.293,0.017,1.02650193802656e-120,"LGI3","Upregulated in Tumor"
9.25654819172646e-125,4.2620183269721,0.305,0.022,2.01422488651968e-120,"TBXAS1","Upregulated in Tumor"
3.10013051930477e-124,3.62672597903899,0.351,0.049,6.74588401000718e-120,"SYNJ2","Upregulated in Tumor"
1.43589332149803e-123,4.10308348311394,0.308,0.024,3.12450386757971e-119,"FYB1","Upregulated in Tumor"
3.5613141168953e-123,3.76677272631119,0.352,0.054,7.74941951836417e-119,"ANKS1B","Upregulated in Tumor"
4.72017338339123e-123,1.3573026560893,0.898,0.8,1.02710972822593e-118,"LMNA","Upregulated in Tumor"
6.1874849640416e-123,4.83131989984935,0.284,0.013,1.34639672817545e-118,"CD4","Upregulated in Tumor"
1.94381076369003e-122,4.12336040525402,0.298,0.02,4.2297322217895e-118,"PCED1B-AS1","Upregulated in Tumor"
2.62993426039334e-122,4.64405552440195,0.291,0.017,5.7227369506159e-118,"C3AR1","Upregulated in Tumor"
3.83592070864981e-122,3.75273671978049,0.356,0.058,8.34696346202198e-118,"UGT8","Upregulated in Tumor"
5.93313112589216e-122,3.95233559768846,0.394,0.093,1.29104933299414e-117,"AIF1L","Upregulated in Tumor"
1.00914618666679e-121,3.86379426322662,0.344,0.049,2.19590210218694e-117,"LTC4S","Upregulated in Tumor"
1.5008929494839e-121,1.28887505847437,0.828,0.643,3.26594305807696e-117,"PABPC1","Upregulated in Tumor"
3.8098893935062e-121,5.00371785524651,0.453,0.164,8.2903193202695e-117,"TF","Upregulated in Tumor"
4.01014249956398e-121,4.44591228960074,0.294,0.02,8.72607007905123e-117,"NCF4","Upregulated in Tumor"
4.56599812657465e-121,3.32915304021604,0.432,0.12,9.93561192342644e-117,"NR4A3","Upregulated in Tumor"
4.76159499556137e-121,4.53425298422938,0.303,0.026,1.03612307103416e-116,"TMIGD3","Upregulated in Tumor"
