"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","Significance"
1.39512767914684e-17,-1.05748742468752,0.089,0.184,3.03579782982352e-13,"USF1","Downregulated in Tumor"
1.51065307350967e-17,-1.0926164682257,0.104,0.205,3.28718108795705e-13,"PLPPR1","Downregulated in Tumor"
1.64932026009424e-17,-1.24954720984932,0.045,0.122,3.58892088596506e-13,"ADAM22","Downregulated in Tumor"
1.82543763073099e-17,-1.65623333969524,0.034,0.105,3.97215228447063e-13,"DLG4","Downregulated in Tumor"
1.8452956500617e-17,-1.12882620640778,0.066,0.153,4.01536333453426e-13,"RFT1","Downregulated in Tumor"
1.89702356357364e-17,-1.00794418454704,0.081,0.174,4.12792327433625e-13,"CACTIN","Downregulated in Tumor"
1.96189043658704e-17,-1.28157894655242,0.051,0.131,4.2690735900134e-13,"NVL","Downregulated in Tumor"
1.99668164833052e-17,-1.05362699987407,0.101,0.198,4.34477926676721e-13,"CKAP5","Downregulated in Tumor"
2.02484815715706e-17,-1.18152101932641,0.057,0.14,4.40606958997377e-13,"MSANTD2","Downregulated in Tumor"
2.10492414736711e-17,-1.39193230073278,0.04,0.113,4.58031494467083e-13,"OXSM","Downregulated in Tumor"
2.16929512737505e-17,-1.06557657926778,0.089,0.184,4.7203861971681e-13,"UGGT2","Downregulated in Tumor"
2.35296934046908e-17,-1.07641835401261,0.077,0.168,5.12006128486072e-13,"RIOX2","Downregulated in Tumor"
2.47439596571248e-17,-1.09135150098912,0.082,0.173,5.38428562139037e-13,"ATR","Downregulated in Tumor"
2.60153879893594e-17,-1.54478821391492,0.038,0.109,5.6609484264846e-13,"AC018647.2","Downregulated in Tumor"
2.83589759512433e-17,-1.34293065641864,0.044,0.12,6.17091316699055e-13,"ZFP1","Downregulated in Tumor"
2.8368513688521e-17,-1.4350502185477,0.045,0.121,6.17298857862218e-13,"XXYLT1","Downregulated in Tumor"
2.83931207056302e-17,-1.11406285373604,0.056,0.138,6.17834306554513e-13,"MLLT3","Downregulated in Tumor"
2.88574186446604e-17,-1.02980741172102,0.071,0.16,6.27937429707811e-13,"LRP12","Downregulated in Tumor"
3.8352466772859e-17,-1.21371510399429,0.066,0.15,8.34549676977411e-13,"SCRN2","Downregulated in Tumor"
3.97792622297421e-17,-1.14378477869961,0.068,0.154,8.65596746119188e-13,"EEF1AKNMT","Downregulated in Tumor"
4.08536937932973e-17,-1.31826484576276,0.052,0.131,8.88976376942149e-13,"TBC1D19","Downregulated in Tumor"
4.14692372105974e-17,-1.42908529915024,0.04,0.112,9.023706017026e-13,"SCAI","Downregulated in Tumor"
4.17007700094601e-17,-1.01223536867714,0.081,0.173,9.07408755405852e-13,"PRRC1","Downregulated in Tumor"
5.57951431199835e-17,-1.10842501434806,0.069,0.155,1.21410231429084e-12,"MAPK7","Downregulated in Tumor"
5.75504315144921e-17,-1.24279616785824,0.059,0.141,1.25229738975535e-12,"POFUT1","Downregulated in Tumor"
5.82700279057249e-17,-1.28447523315764,0.056,0.136,1.26795580722857e-12,"CBWD1","Downregulated in Tumor"
6.43397084928295e-17,-1.47020666396132,0.042,0.116,1.40003205680397e-12,"TAMM41","Downregulated in Tumor"
6.93143010724207e-17,-2.19810591847689,0.181,0.281,1.50827919133588e-12,"SERPINE1","Downregulated in Tumor"
7.0971493268099e-17,-1.476281178371,0.039,0.11,1.54433969351383e-12,"RWDD2B","Downregulated in Tumor"
7.61074691847523e-17,-1.30508945701503,0.054,0.132,1.65609852946021e-12,"DPH2","Downregulated in Tumor"
8.00689695823964e-17,-1.52567939096722,0.038,0.109,1.74230077811294e-12,"COPG2","Downregulated in Tumor"
8.10468122643598e-17,-1.46275785818619,0.044,0.118,1.76357863487247e-12,"STRBP","Downregulated in Tumor"
8.84007275102936e-17,-1.15079932680421,0.063,0.146,1.92359983062399e-12,"MTFR1","Downregulated in Tumor"
9.37337725841031e-17,-1.27269254649718,0.05,0.128,2.03964689143008e-12,"TIMM21","Downregulated in Tumor"
1.01746111426299e-16,-1.06632005526199,0.084,0.174,2.21399538463628e-12,"KIF3C","Downregulated in Tumor"
1.10609747181545e-16,-1.35475609181543,0.044,0.118,2.40686809867043e-12,"UTP25","Downregulated in Tumor"
1.11751711464153e-16,-1.22180221936642,0.064,0.147,2.43171724145998e-12,"C17orf75","Downregulated in Tumor"
1.12349613086916e-16,-1.16033400766627,0.069,0.155,2.44472758077129e-12,"ZNF775","Downregulated in Tumor"
1.16417293787449e-16,-1.27104827906025,0.055,0.133,2.53324031281489e-12,"ELAC1","Downregulated in Tumor"
1.19298044641195e-16,-1.0103595459699,0.1,0.195,2.5959254513924e-12,"RNF20","Downregulated in Tumor"
1.40701630836889e-16,-1.32909850894608,0.041,0.113,3.06166748701071e-12,"TBCE","Downregulated in Tumor"
1.44162049146338e-16,-1.19826670490563,0.061,0.142,3.13696618942432e-12,"DHX33","Downregulated in Tumor"
1.48577651625221e-16,-1.05235034128154,0.089,0.181,3.23304969936481e-12,"SRPK1","Downregulated in Tumor"
1.83480530550156e-16,-1.32500874842138,0.043,0.116,3.9925363447714e-12,"GPR137C","Downregulated in Tumor"
1.8495923035833e-16,-1.34897493360477,0.049,0.124,4.02471285259726e-12,"PCNX2","Downregulated in Tumor"
1.89816568556938e-16,-1.26863989084492,0.054,0.132,4.13040853179896e-12,"GLMN","Downregulated in Tumor"
1.96879369576417e-16,-1.07704366430524,0.075,0.161,4.28409508198284e-12,"CDK7","Downregulated in Tumor"
2.04130177629594e-16,-1.07284367577595,0.071,0.156,4.44187266521997e-12,"AFAP1","Downregulated in Tumor"
2.09020438862424e-16,-1.26606594718109,0.048,0.123,4.54828474964634e-12,"LRSAM1","Downregulated in Tumor"
2.23625770248287e-16,-1.10395153776875,0.071,0.155,4.86609676060272e-12,"IDUA","Downregulated in Tumor"
2.74794199690838e-16,-1.4336807879362,0.042,0.113,5.97952178527263e-12,"GNB5","Downregulated in Tumor"
2.86458711684295e-16,-1.22242705704341,0.063,0.143,6.23334156625026e-12,"TMEM187","Downregulated in Tumor"
2.96721527066562e-16,-1.37933226395314,0.041,0.111,6.45666042896839e-12,"GSTCD","Downregulated in Tumor"
3.08511631823494e-16,-1.39179133683204,0.044,0.116,6.71321310847923e-12,"ZNF48","Downregulated in Tumor"
3.12056601344586e-16,-1.32500874842138,0.046,0.119,6.79035164525819e-12,"CCHCR1","Downregulated in Tumor"
3.1673617179708e-16,-1.0284495564175,0.077,0.164,6.89217909830445e-12,"CRTC1","Downregulated in Tumor"
3.63625997347897e-16,-1.13161059984156,0.071,0.154,7.91250170229024e-12,"MYOF","Downregulated in Tumor"
3.67486642166147e-16,-1.01366367871336,0.091,0.182,7.99650933353536e-12,"TRIM52-AS1","Downregulated in Tumor"
3.97226879199858e-16,-1.34885549037575,0.046,0.118,8.64365689138891e-12,"BUD13","Downregulated in Tumor"
4.40585477512036e-16,-1.49447567872446,0.036,0.103,9.58713999066191e-12,"WDR90","Downregulated in Tumor"
4.56716797039846e-16,-1.38364010543661,0.043,0.114,9.93815750358705e-12,"RBM45","Downregulated in Tumor"
4.60109951700752e-16,-1.27936834272455,0.055,0.131,1.00119925490084e-11,"ZNF675","Downregulated in Tumor"
4.69778340877389e-16,-1.38564603788535,0.041,0.111,1.0222376697492e-11,"ZNF701","Downregulated in Tumor"
4.93837808216547e-16,-1.09565406465147,0.076,0.162,1.07459107067921e-11,"TRIM52","Downregulated in Tumor"
5.03060318248527e-16,-1.33948933516212,0.046,0.119,1.0946592525088e-11,"C8orf58","Downregulated in Tumor"
