"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,-3.61269098474923,0.143,0.732,0,"TRIM47"
0,-6.23574141032429,0.032,0.614,0,"C1QL1"
0,-5.34825757668985,0.035,0.616,0,"EFEMP1"
0,-3.60636376200373,0.202,0.78,0,"RAMP1"
0,-2.44669671881797,0.305,0.883,0,"CD151"
0,3.5233372538511,0.757,0.188,0,"RGCC"
0,-3.37590355228703,0.383,0.938,0,"PCSK1N"
0,3.24721162668215,0.769,0.215,0,"BIN1"
0,-2.47534510534835,0.327,0.881,0,"FLNA"
0,-4.05465886207575,0.293,0.826,0,"ID3"
0,-4.70076552056877,0.374,0.906,0,"GFAP"
0,-2.76575495769064,0.325,0.854,0,"SCRG1"
0,-6.35844850139889,0.407,0.934,0,"CHI3L1"
0,-2.47131867678692,0.428,0.92,0,"RHOC"
0,2.76144194015095,0.912,0.448,0,"SGK1"
0,-3.95762928249995,0.466,0.914,0,"PMP2"
0,-2.30749568395497,0.498,0.939,0,"METRN"
0,3.94412267794523,0.897,0.462,0,"GSN"
0,-3.00369641471894,0.571,0.979,0,"S100A10"
0,4.10732594087761,0.949,0.544,0,"SPP1"
0,2.26438206042553,0.971,0.6,0,"HLA-E"
0,-2.84701858486565,0.62,0.973,0,"CD99"
0,-2.10045771917913,0.656,0.985,0,"SRI"
0,-1.93559205007261,0.666,0.958,0,"PRDX2"
0,-3.60130802877822,0.725,0.991,0,"CLU"
0,2.20031385256397,0.99,0.884,0,"HSPA1A"
0,-4.6851019129162,0.908,1,0,"SEC61G"
0,1.36618916038875,1,0.996,0,"B2M"
7.04345141319446e-308,-3.07459448521659,0.183,0.765,1.53265502751111e-303,"PDPN"
5.71547854531345e-307,-3.41571604312555,0.165,0.747,1.24368813146021e-302,"OCIAD2"
3.4314050187563e-304,-4.8265363563476,0.031,0.602,7.46673732081371e-300,"GJA1"
9.92373302905856e-304,-2.60658980655071,0.065,0.677,2.15940430712314e-299,"COL6A1"
2.29212083164898e-303,-1.8103475130092,0.52,0.956,4.98765492966817e-299,"PTMS"
3.37412376516595e-302,-3.80466489047612,0.29,0.795,7.34209331300112e-298,"C1orf61"
7.74912996115462e-300,-3.16839510199789,0.16,0.74,1.68621067954724e-295,"GPC1"
8.10621749421605e-300,2.46096031362819,0.837,0.365,1.76391292674141e-295,"GSTO1"
8.62117724729469e-300,-2.07107139518713,0.152,0.778,1.87596816901132e-295,"VCAN"
8.37042029456696e-299,-1.17249990040618,0.952,0.997,1.82140345609777e-294,"NDUFA4"
7.17368865641236e-294,-3.20305365709087,0.102,0.688,1.56099465163533e-289,"IGFBP5"
2.71604248401434e-292,-2.40103867711409,0.299,0.849,5.91010844521521e-288,"SOX2"
6.63847457137514e-292,-0.944139501652613,0.975,0.999,1.44453206673123e-287,"CHCHD2"
5.90638534251848e-291,-3.63960647990923,0.101,0.676,1.28522945053202e-286,"PLOD2"
1.36210412396743e-290,-1.66622422017292,0.904,0.983,2.96393857375313e-286,"DBI"
3.81572262570073e-290,-2.82168614765259,0.192,0.76,8.30301243352479e-286,"NPDC1"
2.48513579696069e-289,1.52269632112333,0.999,0.976,5.40765549418647e-285,"NEAT1"
2.21893135623929e-288,1.49269350035987,0.976,0.888,4.82839463117669e-284,"PSAP"
2.63651394148644e-288,-4.90369862865683,0.032,0.58,5.7370543366745e-284,"ATP1B2"
1.36809109443733e-287,-4.16662748700179,0.068,0.622,2.97696622149563e-283,"WLS"
3.00932377489844e-287,-4.62996589886771,0.059,0.611,6.54828853417901e-283,"FXYD6"
3.04473368464013e-287,1.26005765326952,0.999,0.942,6.62534049777692e-283,"HLA-C"
3.58972797692721e-287,-3.12495711360962,0.112,0.683,7.81124807779361e-283,"CD320"
2.24029554840055e-286,-1.55875025665997,0.631,0.959,4.8748831133196e-282,"CAPZA2"
4.57891615655572e-284,-2.35753973418999,0.058,0.635,9.96372155666525e-280,"TIMP3"
1.22711116416713e-281,-4.3349430880314,0.084,0.628,2.67019389322767e-277,"MAOB"
5.95482223466845e-281,-1.88692523278158,0.474,0.925,1.29576931826385e-276,"PPP1R14B"
5.85248822918321e-280,-3.21072330649574,0.075,0.64,1.27350143867027e-275,"EFEMP2"
1.00585118350677e-278,-3.64375436351079,0.088,0.644,2.18873217531074e-274,"CCND2"
3.91888620587879e-278,-1.78039788236102,0.72,0.958,8.52749638399225e-274,"PPP1CB"
1.4903536157312e-276,-3.56380745508113,0.059,0.613,3.2430094678311e-272,"PRRX1"
1.87834925743583e-275,-2.43658126845369,0.219,0.774,4.08728798418037e-271,"FERMT2"
5.83689924776754e-272,-1.95547304498447,0.457,0.913,1.27010927631422e-267,"CALU"
1.51578251047149e-271,5.49353328297382,0.577,0.061,3.29834274278596e-267,"RNASE1"
2.68086399205631e-271,-5.35299187177436,0.018,0.535,5.83356004671453e-267,"DOK5"
3.72889753337091e-269,-2.28118329990925,0.312,0.841,8.1140810326151e-265,"S100A16"
7.22150558247904e-269,-3.59989996797041,0.153,0.683,1.57139961474744e-264,"AGT"
1.12736036970092e-268,1.56677408359859,0.981,0.899,2.4531361644692e-264,"CTSD"
6.85240659652465e-268,-3.29167572389732,0.056,0.601,1.49108367540376e-263,"NR2F1"
6.44770881407442e-266,-2.08522969488789,0.364,0.835,1.40302143794259e-261,"STMP1"
6.92866214450266e-265,-4.44624822254323,0.048,0.575,1.50767688264378e-260,"HOPX"
1.20989094416631e-264,-1.57145889373084,0.761,0.981,2.6327226945059e-260,"S100A6"
2.88415720786303e-264,4.13155374598004,0.592,0.068,6.27592608430994e-260,"ACSL1"
3.35438069083989e-264,1.35404756347873,0.999,0.998,7.29913238326761e-260,"HSP90AA1"
8.98781264019276e-264,-2.34645123441564,0.505,0.905,1.95574803050595e-259,"PTN"
1.15638247765056e-263,-2.43442540474803,0.248,0.785,2.51628827136761e-259,"PFN2"
2.43251441115628e-263,-1.02201118214078,0.988,0.999,5.29315135867606e-259,"RPS5"
8.02485499764562e-263,-3.05673193252716,0.198,0.714,1.74620844748769e-258,"RNF19A"
1.26546982186816e-261,-1.49826111938456,0.712,0.965,2.75366233238511e-257,"LDHB"
1.02237317994903e-260,-2.07014891879144,0.319,0.847,2.22468403956909e-256,"BAALC"
1.06614705335992e-259,-1.36876217036093,0.792,0.992,2.31993598811118e-255,"VIM"
1.57257139858762e-259,-4.56306632428863,0.046,0.564,3.42191536332666e-255,"SCG2"
1.82129345694194e-259,-3.84992773269162,0.074,0.609,3.96313456230566e-255,"NNMT"
5.16253510926709e-259,-2.70067513017703,0.212,0.734,1.12336763977652e-254,"TPST1"
9.95602768343897e-258,-1.36203081501891,0.717,0.972,2.16643162391632e-253,"PHPT1"
2.18463342069034e-257,-3.4833576962743,0.095,0.62,4.75376232342217e-253,"NES"
6.56753432700324e-257,-2.17441190113819,0.31,0.808,1.42909546955591e-252,"FAM20C"
9.24926518181577e-257,-2.17507431511209,0.36,0.856,2.01264010356311e-252,"TUBB3"
2.40599641433257e-255,4.56878746765455,0.533,0.031,5.23544819758767e-251,"DNAJA4"
3.81922125639899e-255,-1.48960985120474,0.606,0.942,8.3106254539242e-251,"SSBP1"
2.78906786120794e-253,-2.63875799708667,0.188,0.711,6.06901166598848e-249,"LTBP3"
8.10448236188541e-253,-2.79942725141504,0.475,0.883,1.76353536194627e-248,"MT3"
1.81277714813012e-252,-2.81006548853759,0.164,0.707,3.94460307433113e-248,"SOX4"
2.50129390626038e-252,-4.12435783446392,0.05,0.556,5.44281554002258e-248,"CFI"
2.47150710760699e-250,3.60153794354209,0.625,0.124,5.3779994661528e-246,"FAM107B"
5.4342693379154e-250,-3.20756736451357,0.084,0.609,1.18249700793039e-245,"PALLD"
9.07624697271343e-250,-4.27548399903295,0.038,0.537,1.97499134126244e-245,"GLIS3"
1.29321005693617e-249,-1.00013062351447,0.981,1,2.8140250838931e-245,"RPL36"
5.5586080910053e-249,-3.47882106555874,0.186,0.7,1.20955312060275e-244,"CAV1"
9.7831975721812e-248,-1.5701532436838,0.533,0.92,2.12882379170663e-243,"DYNLT1"
1.80870649622014e-247,-1.68106059349555,0.519,0.916,3.93574533577502e-243,"ZNF428"
4.06719782807635e-247,-2.45991793696842,0.055,0.572,8.85022247389414e-243,"THY1"
9.49261532251423e-247,-1.94521039605008,0.507,0.883,2.0655930941791e-242,"PON2"
1.0334643849889e-245,-5.57873112073949,0.014,0.491,2.24881850173584e-241,"FOXG1"
1.67374766536654e-245,-3.48606639121862,0.039,0.54,3.64207491983758e-241,"RARRES2"
5.34110083644342e-244,1.07932219586146,0.999,0.955,1.16222354201009e-239,"HLA-B"
6.01954616563285e-244,-6.7843492849512,0.007,0.474,1.30985324564171e-239,"RFX4"
9.5820432787268e-243,5.24665135675632,0.491,0.019,2.08505261745095e-238,"CD55"
1.64441605741142e-242,5.14213952656272,0.502,0.027,3.57824934092726e-238,"EVI2A"
2.00074561248437e-242,-5.62296096546337,0.015,0.487,4.35362245276598e-238,"MLC1"
9.31897736129421e-242,-6.84451225843312,0.024,0.498,2.02780947381762e-237,"CA3"
1.05163665446615e-240,2.72058634164963,0.753,0.295,2.28836136011834e-236,"KLF4"
5.29710044840281e-240,-7.83395165965678,0.025,0.495,1.15264905757245e-235,"HP"
7.0132132655317e-240,-5.41979023070015,0.029,0.508,1.5260752065797e-235,"NRN1"
1.30988375346103e-239,-6.50038977180645,0.007,0.47,2.85030704753119e-235,"BBOX1"
4.03903856668621e-238,-5.23502561023971,0.018,0.486,8.78894792110918e-234,"CTXN1"
1.50740748360622e-237,4.70616975143291,0.493,0.024,3.28011868432714e-233,"SNHG15"
6.37918547847254e-237,-2.65453104446424,0.159,0.679,1.38811076011563e-232,"PGM2L1"
7.20772392186214e-237,-7.07903046108242,0.098,0.577,1.5684007253972e-232,"LTF"
3.2502249913666e-236,-2.30659646086785,0.24,0.762,7.07248958121372e-232,"MDK"
1.05610414760038e-235,-1.21025858546309,0.058,0.589,2.29808262517842e-231,"BGN"
9.73733731978647e-235,-3.1884595494334,0.086,0.586,2.11884460078554e-230,"GOLM1"
1.24380853984102e-230,-3.47150647369598,0.183,0.667,2.70652738269407e-226,"TAGLN"
1.61044486860132e-230,-1.32800229656716,0.848,0.986,3.50432803407648e-226,"PKM"
2.86534412621771e-229,-5.86715734259822,0.013,0.463,6.23498881864973e-225,"C21orf62"
6.58206998885889e-229,-3.4862200637285,0.412,0.819,1.43225842957569e-224,"SERPINA3"
1.03430033716344e-227,-6.56100521777491,0.007,0.451,2.25063753366766e-223,"CRISPLD1"
3.87048558456498e-227,-3.65180318727548,0.064,0.546,8.42217663201339e-223,"EMILIN1"
1.24135073131395e-226,-2.87140223808653,0.131,0.621,2.70117919133916e-222,"TRIP6"
6.96934260155148e-226,-0.743587251176666,0.999,1,1.5165289500976e-221,"RPS15"
8.89513007527504e-226,-3.49094339141084,0.054,0.534,1.93558030437985e-221,"CDH11"
1.19015383528573e-225,-3.63208884103479,0.066,0.547,2.58977474558176e-221,"CSRP2"
2.04809428992379e-225,-2.58058644260321,0.188,0.676,4.45665317487417e-221,"SLC16A1"
2.53932918172606e-224,-2.58330112513187,0.145,0.645,5.5255802994359e-220,"WWTR1"
5.68368811081402e-223,-2.26537050487267,0.21,0.705,1.23677053291313e-218,"ADH5"
8.83970038514852e-223,-5.4302085960294,0.014,0.457,1.92351880380832e-218,"CRMP1"
9.63100545387158e-223,-1.57703865355471,0.54,0.919,2.09570678676246e-218,"EMP3"
3.16033007564909e-222,3.91081192565271,0.638,0.187,6.87687824461241e-218,"OTUD1"
1.1871994521171e-221,-2.12783500400473,0.238,0.732,2.58334600780681e-217,"MYL6B"
2.26652968293363e-221,-4.14465968727979,0.03,0.483,4.93196859006359e-217,"JAM2"
4.81359397995455e-221,-2.95153149434066,0.124,0.612,1.04743805003811e-216,"CHPF"
3.72235644545875e-220,-2.49691547413256,0.197,0.693,8.09984762531823e-216,"PLP2"
1.35486827797669e-219,4.42187169624476,0.577,0.129,2.94819337287728e-215,"IFI30"
2.26826059346041e-219,-2.67500546676789,0.138,0.629,4.93573505136986e-215,"NFIB"
4.33566059561075e-218,5.82307634541307,0.46,0.026,9.434397456049e-214,"ENPP2"
4.45308818305999e-218,-4.01430790895727,0.042,0.497,9.68991988633854e-214,"FNDC4"
4.83184864553132e-218,-4.59347385331931,0.051,0.511,1.05141026526762e-213,"PTX3"
1.41129820755651e-217,4.80630361285204,0.579,0.144,3.07098489964296e-213,"CYBA"
4.41532435144721e-217,-3.0665365596962,0.1,0.577,9.60774578874914e-213,"ABCC3"
7.62253265681676e-217,-1.1745281965831,0.926,0.989,1.65866310612333e-212,"TPI1"
1.02709253330353e-216,-2.93282382629518,0.193,0.662,2.23495335246848e-212,"SERPING1"
2.89178757402457e-216,-4.26118861628472,0.029,0.474,6.29252976107747e-212,"FZD3"
7.72878489809094e-216,2.2486942144429,0.77,0.384,1.68178359382459e-211,"PIM3"
1.2703348012435e-215,5.40562522742473,0.462,0.029,2.76424852750586e-211,"PLEK"
2.51438059148589e-215,-1.29800515464598,0.651,0.939,5.4712921670733e-211,"GADD45GIP1"
9.42450990655543e-215,6.09035095913299,0.44,0.016,2.05077335566646e-210,"EDIL3"
2.3459164781436e-214,-4.93378149258217,0.024,0.46,5.10471425644048e-210,"DCLK2"
5.88839765308292e-214,-4.17434086566015,0.049,0.498,1.28131532931084e-209,"CDO1"
1.2858495563743e-213,4.58102893847717,0.46,0.026,2.79800863467048e-209,"RASGRP3"
1.41969733435228e-213,-1.8130016003764,0.328,0.794,3.08926139955057e-209,"NDUFA7"
2.29454169785644e-213,-2.97073116071092,0.117,0.587,4.99292273453562e-209,"TSTD1"
2.33200523564321e-213,-2.22111603155291,0.355,0.782,5.07444339275962e-209,"AHCYL1"
3.15217997739947e-213,4.84215024877894,0.477,0.043,6.85914363082125e-209,"VAMP8"
4.617043933397e-213,-2.73298776542419,0.111,0.592,1.00466875990719e-208,"CRIP2"
5.27083801584237e-213,4.71321778804954,0.49,0.052,1.1469343522473e-208,"MS4A7"
6.80585946942392e-213,-6.00917292684964,0.016,0.443,1.48095502054664e-208,"CXCL14"
6.99940974930443e-213,-4.3641433921024,0.033,0.475,1.52307156144864e-208,"TMEM132A"
9.54353168763624e-212,-1.09754215360862,0.837,0.971,2.07667249522964e-207,"UQCR11"
1.24385906362649e-211,5.503696108074,0.458,0.031,2.70663732245125e-207,"VSIG4"
1.91733663244148e-211,-4.62712383952471,0.021,0.452,4.17212451219266e-207,"FBXO17"
3.40672614094068e-211,-2.56871864596539,0.208,0.68,7.41303608268692e-207,"PSRC1"
3.58609114588932e-209,-4.6190700498758,0.041,0.477,7.80333433345516e-205,"TGFB2"
3.73490479191812e-209,5.17417342571797,0.448,0.024,8.12715282721382e-205,"CD163"
3.37729187408703e-208,3.75853801964964,0.608,0.161,7.34898711801338e-204,"IER3"
5.66482212678361e-208,-4.15977713305369,0.037,0.472,1.23266529478811e-203,"SMAD1"
1.82911394809215e-207,-5.18119728928202,0.018,0.441,3.98015195104852e-203,"VCAM1"
2.86672866463377e-207,4.52241380567309,0.463,0.035,6.23800157424308e-203,"STAB1"
4.85750210794779e-207,-1.08566432884343,0.854,0.977,1.05699245868944e-202,"TOMM7"
1.14719614807728e-206,-1.21936136441046,0.887,0.991,2.49629881821615e-202,"LDHA"
2.01333704424793e-206,-6.87779310325227,0.009,0.42,4.3810214082835e-202,"NSG1"
2.3847699462881e-206,-4.38011273194128,0.072,0.523,5.1892594031229e-202,"HILPDA"
4.40479296841678e-206,-1.49860659499305,0.49,0.873,9.58482949927492e-202,"POLR2J"
1.75970511043112e-205,6.71564228546951,0.419,0.012,3.82911832029811e-201,"KLK6"
3.24695816444502e-205,5.26272956476989,0.446,0.029,7.06538096583237e-201,"MS4A6A"
2.34195767465727e-204,-4.15878777432385,0.036,0.465,5.09609990005423e-200,"REEP2"
3.29603459449626e-204,-2.49117409342475,0.185,0.655,7.17217127762387e-200,"TRIM9"
5.68943146338951e-204,5.13310908978055,0.441,0.027,1.23802028643356e-199,"ITGB2"
9.22744814489746e-204,1.1694562846581,0.996,0.964,2.00789271632969e-199,"HSP90AB1"
1.40406959481495e-203,-2.86809000104547,0.042,0.494,3.05525543831732e-199,"FKBP10"
2.4906982870886e-203,-1.92641917741574,0.276,0.74,5.41975947270479e-199,"MTPN"
2.64618588758629e-203,-4.02029646300876,0.032,0.461,5.75810049138776e-199,"SYNE2"
2.11360031734304e-202,4.46456378452509,0.545,0.128,4.59919429053845e-198,"LAPTM5"
2.3139338254677e-202,-5.50228772205504,0.013,0.423,5.03512000421771e-198,"HAS2"
4.04852917862023e-202,-5.39513224916622,0.015,0.425,8.80959949267762e-198,"CA12"
1.46783318671138e-201,-2.10439738738576,0.232,0.705,3.19400501428396e-197,"POLD2"
1.54677949349522e-201,4.80334446082742,0.596,0.187,3.3657921778456e-197,"SRGN"
4.2857161462862e-201,-4.94028552679812,0.019,0.431,9.32571833431877e-197,"HSPB6"
4.41590395330409e-201,-6.04901362462976,0.008,0.411,9.60900700238969e-197,"CADPS"
7.65681900075456e-201,5.14036463239871,0.455,0.04,1.66612381456419e-196,"OLR1"
1.71654168498836e-200,-1.17051517796343,0.701,0.992,3.73519470653468e-196,"MARCKS"
1.89787658958632e-200,1.9358601689254,0.815,0.472,4.12977945893984e-196,"LITAF"
1.99304047988911e-200,-4.450299407695,0.021,0.436,4.33685608423871e-196,"FIBIN"
2.146524958057e-200,3.97330145735314,0.508,0.073,4.67083830873202e-196,"NR4A2"
2.70632098085979e-200,1.23858522137293,0.999,0.996,5.8889544543509e-196,"PTMA"
5.73006781563827e-200,-2.91714902800019,0.101,0.554,1.24686275668289e-195,"NAT14"
1.08697329024768e-199,-1.21606020663576,1,1,2.36525387957896e-195,"GAPDH"
1.6307019019072e-199,4.56519703069092,0.482,0.064,3.54840733855007e-195,"FCGR3A"
1.97468338718239e-199,3.84788822002161,0.602,0.175,4.29691105050887e-195,"PLIN2"
2.48393499882484e-199,5.59690165159046,0.441,0.034,5.40504255744286e-195,"NKX6-2"
1.26076955342431e-198,5.19813896413335,0.43,0.024,2.74343454825129e-194,"MS4A4A"
3.69294461067552e-198,-2.34576921848562,0.22,0.701,8.03584747282993e-194,"RND3"
1.34804958561215e-197,4.12913416648338,0.666,0.282,2.93335589829205e-193,"APOC1"
5.14449312270844e-197,1.02617962074654,0.969,0.901,1.11944170350136e-192,"ATP6V0B"
7.43041733558721e-197,-1.11768305186944,0.719,0.961,1.61685881222378e-192,"ERH"
3.32068020974548e-196,4.84044021974777,0.52,0.105,7.22580013640616e-192,"CD14"
1.62647182097542e-195,-3.18320574724569,0.102,0.543,3.53920268244251e-191,"EMID1"
3.32076597288695e-195,4.59609297887279,0.552,0.148,7.225986757002e-191,"TYROBP"
4.07334489987149e-195,-3.59448466273509,0.066,0.499,8.86359850212036e-191,"GRIA2"
1.27093402008449e-194,6.63305308982614,0.41,0.018,2.76555242770385e-190,"CNDP1"
1.43346599431183e-194,-1.30500299748386,0.564,0.91,3.11922200362255e-190,"KDELR1"
4.10886048171684e-194,-1.24329116114373,0.713,0.946,8.94088040821584e-190,"NDFIP1"
7.07819953629264e-194,-5.11160511031219,0.02,0.421,1.54021621909728e-189,"FADS2"
9.10269650811569e-194,3.5226359663243,0.608,0.194,1.98074676016597e-189,"CREM"
1.11394823629004e-193,4.93115377892803,0.432,0.031,2.42395136216712e-189,"TREM2"
5.30432213481617e-193,5.64697687540902,0.465,0.061,1.154220496536e-188,"CLDN11"
5.71532758610519e-193,-1.3083011026532,0.676,0.943,1.24365528273649e-188,"CDK2AP1"
1.05825670131983e-192,4.6940495873943,0.548,0.146,2.30276658207196e-188,"FCER1G"
2.75432240635842e-192,6.3639844430686,0.436,0.04,5.99340555623593e-188,"MAG"
3.46635781040415e-192,-2.18947953832419,0.409,0.807,7.54279459543944e-188,"GADD45A"
5.34307387107245e-192,4.90993604487134,0.421,0.024,1.16265287434537e-187,"CD53"
9.60728606974115e-192,3.05704033890355,0.516,0.083,2.09054544877567e-187,"EPB41L3"
1.4392752381127e-191,-3.380999774136,0.064,0.497,3.13186291813323e-187,"PDLIM3"
1.97117814194455e-191,-2.46232756687488,0.192,0.636,4.28928363687134e-187,"MIR99AHG"
2.6398953191829e-191,-2.18216037011945,0.204,0.654,5.74441221454199e-187,"NIPSNAP2"
3.74932701457418e-191,5.08392588982023,0.472,0.066,8.15853558371342e-187,"GPR183"
3.96371508282027e-191,4.35837580553998,0.518,0.112,8.62504402021691e-187,"AIF1"
5.23667006720515e-191,-1.32526452274009,0.637,0.914,1.13949940662384e-186,"ATP5MF"
9.25645550457097e-191,-3.94134283358116,0.058,0.479,2.01420471779464e-186,"RDH10"
1.45547238745578e-190,-3.30158307654008,0.066,0.494,3.16710791510378e-186,"SMARCD3"
5.53033264145053e-190,5.15402801849012,0.589,0.186,1.20340038277964e-185,"CCL3"
1.95616313777353e-189,-2.44170348716333,0.134,0.588,4.2566109877952e-185,"ZNF667-AS1"
8.32614473588111e-189,4.95583878618143,0.419,0.027,1.81176909452773e-184,"SAMSN1"
2.25005746659156e-188,-3.89715597148332,0.042,0.452,4.89612504730323e-184,"LINC00461"
3.97321970441839e-188,-3.59093687078415,0.412,0.776,8.64572607681442e-184,"RCAN1"
7.65849691372997e-188,6.06282331793904,0.392,0.012,1.66648892842764e-183,"CARNS1"
7.856449735386e-188,5.06512161363964,0.543,0.149,1.70956346241999e-183,"C1QA"
1.25960221600543e-187,-5.09740275193981,0.017,0.406,2.74089442202782e-183,"SPOCK2"
1.40499232970846e-187,-0.884538839077653,0.94,0.984,3.05726330944561e-183,"NDUFA13"
1.99307298288701e-187,-3.09303842059094,0.079,0.509,4.33692681076213e-183,"CTNND2"
2.4636268685715e-187,3.93156606084288,0.517,0.112,5.36085206601158e-183,"TYMP"
3.72597289083404e-187,6.02393174743015,0.407,0.023,8.10771701045486e-183,"MOG"
5.29225195074816e-187,-3.44554601029238,0.052,0.472,1.1515940244828e-182,"ACKR3"
1.74460584268185e-186,-2.14349159358953,0.356,0.765,3.7962623136757e-182,"NFIA"
1.81979728463488e-186,4.57197190076531,0.421,0.029,3.9598788913655e-182,"MSR1"
2.26465545435339e-186,-1.79599173551251,0.407,0.793,4.92789026867298e-182,"TSPAN3"
5.74499177823462e-186,4.54723160506364,0.524,0.122,1.25011021094385e-181,"BCL2A1"
7.42552362600778e-186,2.54743805616507,0.703,0.328,1.61579394101929e-181,"BAG3"
8.01300284150271e-186,4.61682202289487,0.421,0.03,1.74362941831099e-181,"ARHGDIB"
8.341230593735e-186,-1.57637015005309,0.548,0.894,1.81505177719674e-181,"MRPS24"
1.17956574848564e-185,3.56277614847413,0.468,0.058,2.56673506870475e-181,"DOCK10"
2.18747058443454e-185,3.69880552818709,0.514,0.101,4.75993599172955e-181,"SCN1B"
2.37692076707833e-185,1.71151436720189,0.797,0.463,5.17217958916245e-181,"ZEB2"
7.53804398110482e-185,-3.69989157786412,0.047,0.455,1.64027837028841e-180,"BCHE"
7.60875940033648e-185,4.88864032938067,0.527,0.136,1.65566604551322e-180,"C1QC"
8.7562777623672e-185,-1.42421098618624,0.676,0.923,1.9053660410911e-180,"PRDX6"
1.51319079684643e-184,-3.72960944418945,0.044,0.45,3.29270317393784e-180,"OBSL1"
5.70166175131972e-184,-1.28113685171843,0.694,0.934,1.24068159708717e-179,"TUBB"
1.17349508672215e-183,2.08143074377028,0.726,0.348,2.55352530870739e-179,"ELL2"
1.26317016567134e-183,-4.26280965352246,0.025,0.414,2.74865828050085e-179,"TSPAN6"
1.62136702461676e-183,4.54321991491799,0.512,0.116,3.52809464556607e-179,"RGS1"
2.11124442483639e-183,-1.63369609142939,0.361,0.806,4.59406786844398e-179,"LMO4"
2.66427147881733e-183,-2.4035556651708,0.152,0.595,5.7974547379065e-179,"MXRA7"
5.08948491508819e-183,-2.88983990000056,0.089,0.518,1.10747191752319e-178,"DKK3"
6.88923816909334e-183,-3.86145025338876,0.038,0.438,1.49909822559471e-178,"MAP2"
1.20335812771856e-182,-1.97360616004524,0.05,0.48,2.61850728591558e-178,"FSTL1"
2.24945013586243e-182,-3.59283034479207,0.028,0.424,4.89480349563665e-178,"PRSS23"
3.00905332485878e-182,-2.33387190694432,0.164,0.613,6.54770003489271e-178,"FYN"
4.73504555082604e-182,1.01166435560986,0.971,0.912,1.03034591185975e-177,"ATP6V0C"
2.28968654545197e-181,4.88314035203143,0.408,0.028,4.98235792290348e-177,"CD37"
3.46915362422903e-181,-1.64630080448399,0.319,0.768,7.54887828632236e-177,"TNFRSF1A"
3.63398010887272e-181,2.94275948529783,0.568,0.15,7.90754071690704e-177,"ANKH"
4.85944232299691e-181,-3.06016984574084,0.044,0.454,1.05741464948413e-176,"TGFB1I1"
1.30966983815563e-180,2.13389562331367,0.66,0.249,2.84984156782665e-176,"RHOG"
1.99361820815989e-180,5.00446891925152,0.544,0.16,4.33811322095593e-176,"C1QB"
4.72448288529545e-180,-4.12380813164116,0.03,0.42,1.02804747584029e-175,"MEG8"
4.97218256054973e-179,-2.55838708545072,0.135,0.567,1.08194692517562e-174,"FADS3"
5.07315305684341e-179,-1.34612295595148,0.557,0.9,1.10391810516913e-174,"LSM7"
9.47840826975953e-179,-1.32168924948316,0.551,0.953,2.06250163949967e-174,"TUBB2B"
